competition,match_id,date,season,team1,team2,winner,result,margin_runs,margin_wickets,toss_winner,toss_decision,venue,city
CPL,1019643,2016-07-11,2016,Jamaica Tallawahs,Barbados Tridents,,no result,,,Barbados Tridents,field,"Kensington Oval, Bridgetown",Barbados
CPL,1094689,2017-08-19,2017,St Lucia Stars,St Kitts and Nevis Patriots,,no result,,,St Kitts and Nevis Patriots,field,"Warner Park, Basseterre",St Kitts
CPL,1185850,2019-09-17,2019,Trinbago Knight Riders,St Kitts and Nevis Patriots,,tie,,,St Kitts and Nevis Patriots,field,"Warner Park, Basseterre",St Kitts
CPL,1185854,2019-09-21,2019,St Lucia Zouks,Trinbago Knight Riders,,no result,,,Trinbago Knight Riders,field,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia
CPL,1227889,2020-09-03,2020,St Kitts and Nevis Patriots,Jamaica Tallawahs,,no result,,,Jamaica Tallawahs,field,"Brian Lara Stadium, Tarouba",Trinidad
CPL,1269710,2021-09-01,2021,Trinbago Knight Riders,Guyana Amazon Warriors,,tie,,,Guyana Amazon Warriors,field,"Warner Park, Basseterre, St Kitts",Basseterre
CPL,1369560,2023-08-19,2023,Trinbago Knight Riders,St Kitts and Nevis Patriots,,no result,,,St Kitts and Nevis Patriots,field,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet
CPL,1369561,2023-08-19,2023,Guyana Amazon Warriors,St Lucia Kings,,no result,,,St Lucia Kings,field,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet
CPL,857705,2015-06-21,2015,St Lucia Zouks,Trinidad & Tobago Red Steel,,no result,,,Trinidad & Tobago Red Steel,field,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia
